|exam_id|voto_medio|
|-------|----------|
|1      |16,8824   |
|2      |16,4615   |
|3      |20,3333   |
|4      |27        |
|6      |17,5      |
|7      |19,6      |
|8      |6,5       |
|9      |12        |
|11     |17,4324   |
|12     |14,8889   |
|13     |22        |
|16     |18,0526   |
|17     |19        |
|18     |5,5       |
|19     |22        |
|21     |16,6176   |
|22     |15        |
|23     |12,75     |
|24     |12        |
|25     |3         |
|26     |19,1667   |
|27     |24,5      |
|31     |16,9583   |
|32     |17,25     |
|36     |20,1818   |
|37     |22        |
|41     |19,5263   |
|42     |20,6      |
|46     |17,4      |
|47     |16,3333   |
|51     |17,44     |
|52     |18,1667   |
|53     |11        |
|54     |19,3333   |
|56     |17,4545   |
|57     |15,2      |
|58     |9         |
|59     |14        |
|61     |21,6667   |
|66     |17,2      |
|67     |22,25     |
|68     |21        |
|71     |24        |
|72     |14        |
|73     |26        |
|76     |20,5455   |
|77     |22        |
|78     |8         |
|79     |32        |
|81     |15,875    |
|82     |27        |
|86     |20,1538   |
|87     |13        |
|88     |28        |
|91     |12,1111   |
|92     |23,3333   |
|96     |18,38     |
|97     |17,3889   |
|98     |11,3333   |
|99     |20        |
|101    |16,5      |
|102    |19,2      |
|103    |18,8      |
|104    |12,5      |
|106    |17,3889   |
|107    |15        |
|108    |20        |
|111    |16,4681   |
|112    |15,5833   |
|113    |24,5      |
|116    |14,2391   |
|117    |16,9412   |
|118    |19        |
|119    |9         |
|121    |19,5556   |
|122    |19,1667   |
|123    |12,5      |
|126    |19,5      |
|127    |16,7      |
|128    |10,6      |
|129    |24        |
|131    |17,2857   |
|132    |14,9167   |
|133    |14        |
|134    |12        |
|136    |16,6563   |
|137    |11,3636   |
|138    |14,75     |
|139    |4         |
|140    |19        |
|141    |18,8857   |
|142    |14        |
|143    |10        |
|146    |17,5556   |
|147    |12,7778   |
|148    |17        |
|151    |17,871    |
|152    |14,8571   |
|153    |25        |
|156    |17,625    |
|157    |16,7273   |
|158    |19,25     |
|161    |19,3214   |
|162    |18,2857   |
|163    |7         |
|164    |20        |
|166    |16,5      |
|167    |12,6      |
|168    |8         |
|171    |13,4722   |
|172    |17,1667   |
|173    |18        |
|176    |17,8788   |
|177    |17        |
|178    |28,6667   |
|181    |23,5294   |
|186    |19,2222   |
|187    |26,25     |
|191    |20,1579   |
|192    |17,5      |
|193    |19        |
|196    |21,7273   |
|197    |24        |
|201    |19,8      |
|206    |19,4286   |
|207    |9,5       |
|208    |10,5      |
|209    |26,5      |
|211    |14        |
|212    |25        |
|213    |32        |
|216    |19,3158   |
|217    |13,6      |
|218    |21        |
|221    |18,8667   |
|222    |23        |
|223    |26        |
|226    |18,3704   |
|227    |20,4      |
|228    |21,5      |
|229    |4         |
|230    |26        |
|231    |19        |
|232    |16,5      |
|233    |29        |
|236    |16,6923   |
|237    |20,6667   |
|238    |5         |
|239    |10        |
|241    |17,3667   |
|242    |18,8889   |
|243    |22,6667   |
|246    |20,7333   |
|247    |13,25     |
|248    |18        |
|249    |26        |
|251    |12,8485   |
|252    |17,7692   |
|253    |7,6667    |
|254    |8         |
|256    |18        |
|257    |22,625    |
|258    |27,5      |
|261    |18,7931   |
|262    |19,6      |
|266    |17,6364   |
|267    |18,3333   |
|268    |17,5      |
|271    |19,25     |
|272    |22,3333   |
|273    |19        |
|276    |20,8333   |
|277    |21,7143   |
|278    |17,5      |
|281    |15,0435   |
|282    |17,3333   |
|283    |33        |
|286    |13,7143   |
|287    |18,75     |
|288    |16,5      |
|291    |18,5714   |
|292    |6         |
|296    |17,4444   |
|297    |20,3333   |
|301    |21        |
|302    |16,6667   |
|303    |22        |
|306    |16,2      |
|307    |12        |
|308    |13        |
|309    |22        |
|311    |13,4      |
|312    |22        |
|313    |25,5      |
|316    |15,75     |
|317    |22        |
|321    |19,125    |
|322    |13        |
|323    |10        |
|324    |10        |
|325    |22        |
|326    |15,9474   |
|327    |15,5333   |
|328    |21,5      |
|331    |18,1935   |
|332    |18,6      |
|333    |16,5      |
